"Step","model.ln_type: mlp-pre - train/loss","model.ln_type: mlp-pre - train/loss__MIN","model.ln_type: mlp-pre - train/loss__MAX","model.ln_type: pre - train/loss","model.ln_type: pre - train/loss__MIN","model.ln_type: pre - train/loss__MAX","model.ln_type: attn-pre - train/loss","model.ln_type: attn-pre - train/loss__MIN","model.ln_type: attn-pre - train/loss__MAX","model.ln_type: off - train/loss","model.ln_type: off - train/loss__MIN","model.ln_type: off - train/loss__MAX"
"92","0.8651786804199219","0.744279146194458","1.1384737491607666","0.09059873968362808","0.08458791673183441","0.1000780314207077","0.027431173995137215","0.0227888822555542","0.03730667755007744","3.5597272872924806","3.533778190612793","3.581444025039673"
"93","0.8116175651550293","0.6953678131103516","1.0804051160812378","0.08417332023382187","0.07866699248552322","0.09274183213710785","0.02572416253387928","0.021228130906820297","0.0352088063955307","3.530942106246948","3.5044727325439453","3.5544583797454834"
"94","0.7598187088966369","0.6475138664245605","1.0231291055679321","0.07842624932527542","0.07336004078388214","0.08619128167629242","0.024211905896663666","0.0198875330388546","0.03331302851438522","3.5018640518188477","3.4750254154205322","3.5267601013183594"
"95","0.7100535154342651","0.6022330522537231","0.9673491716384888","0.07327470779418946","0.06861415505409241","0.08031246066093445","0.022878504171967507","0.018717695027589798","0.03161486238241196","3.4720322132110595","3.444535493850708","3.498598575592041"
"96","0.6615657925605773","0.5583856105804443","0.9123973846435547","0.06865649521350861","0.06436232477426529","0.07504506409168243","0.021700962632894515","0.01769566722214222","0.030054442584514618","3.441530466079712","3.413297414779663","3.469505548477173"
"97","0.6155086398124695","0.5175220370292664","0.8592531681060791","0.06450650244951248","0.060537539422512054","0.07031753659248352","0.020658738538622858","0.01680426485836506","0.028653722256422043","3.4104324340820313","3.381614923477173","3.4401042461395264"
"98","0.5714075267314911","0.47756484150886536","0.8080729246139526","0.06077487468719482","0.057107631117105484","0.06606273353099823","0.019734728336334228","0.01602408103644848","0.027381550520658493","3.3787043571472166","3.348891496658325","3.4107377529144287"
"99","0.5294285178184509","0.44079217314720154","0.7576236724853516","0.0574133962392807","0.054013412445783615","0.062240079045295715","0.018922646529972553","0.01533141266554594","0.026274481788277626","3.3466004848480226","3.315619945526123","3.3807663917541504"
"100","0.4894258439540863","0.4057663679122925","0.7085725665092468","0.05437913462519646","0.051221881061792374","0.05878841131925583","0.01818587277084589","0.014722993597388268","0.02521885372698307","3.313727331161499","3.281696319580078","3.350064992904663"
"101","0.4515461504459381","0.372901976108551","0.66058349609375","0.051638326793909076","0.0487041249871254","0.05567503720521927","0.017526809126138687","0.014183294959366322","0.02427474781870842","3.2801395416259767","3.2469820976257324","3.318695068359375"
"102","0.41632758975028994","0.34260624647140503","0.6157897114753723","0.04915607199072838","0.04641972854733467","0.052859947085380554","0.01692986972630024","0.01368282362818718","0.023396668955683708","3.2460909843444825","3.211901903152466","3.2870607376098633"
"103","0.3831684947013855","0.31402379274368286","0.5729668140411377","0.04690486863255501","0.04435054585337639","0.0503072589635849","0.016390883550047874","0.013236836530268192","0.022606588900089264","3.211543893814087","3.176438570022583","3.255218029022217"
"104","0.35210986733436583","0.28805744647979736","0.5309357047080994","0.044861222803592685","0.042472705245018005","0.047994691878557205","0.015890097245573997","0.012843105010688305","0.021840814501047134","3.1763723850250245","3.140674114227295","3.2226545810699463"
"105","0.32333568930625917","0.26374733448028564","0.49122241139411926","0.04300003871321678","0.04076037555932999","0.04589071869850159","0.015436883643269539","0.012495696544647217","0.021130964159965515","3.1405033588409426","3.1041066646575928","3.1896164417266846"
"106","0.29684750735759735","0.24176917970180511","0.45455819368362427","0.04130440801382065","0.0392020083963871","0.04397514835000038","0.015015487559139729","0.012188770808279514","0.02043205127120018","3.1040926456451414","3.0668270587921143","3.1559953689575195"
"107","0.2723476439714432","0.22145383059978485","0.41957995295524597","0.03975644931197166","0.03777956962585449","0.04223014786839485","0.01463084239512682","0.011892619542777538","0.01983180269598961","3.067153310775757","3.0296428203582764","3.121873140335083"
