"Step","model.output_scaling: 0.75 - train/loss","model.output_scaling: 0.75 - train/loss__MIN","model.output_scaling: 0.75 - train/loss__MAX","model.output_scaling: 1.5 - train/loss","model.output_scaling: 1.5 - train/loss__MIN","model.output_scaling: 1.5 - train/loss__MAX","model.output_scaling: 1.25 - train/loss","model.output_scaling: 1.25 - train/loss__MIN","model.output_scaling: 1.25 - train/loss__MAX","model.output_scaling: 1 - train/loss","model.output_scaling: 1 - train/loss__MIN","model.output_scaling: 1 - train/loss__MAX","model.output_scaling: 0.5 - train/loss","model.output_scaling: 0.5 - train/loss__MIN","model.output_scaling: 0.5 - train/loss__MAX"
"45","4.408536052703857","4.398017883300781","4.42149543762207","4.314037227630616","4.299376487731934","4.334261894226074","4.337672233581543","4.324291229248047","4.354367256164551","4.368227005004883","4.3565802574157715","4.381964683532715","4.464108657836914","4.453555107116699","4.47750997543335"
"46","4.396574878692627","4.38593053817749","4.409297943115234","4.300234794616699","4.2847580909729","4.320672988891602","4.324331283569336","4.31013822555542","4.341400146484375","4.355436515808106","4.3432135581970215","4.368974685668945","4.453385066986084","4.442965507507324","4.466107368469238"
"47","4.3846156120300295","4.373747825622559","4.397160053253174","4.286484432220459","4.270236015319824","4.307069301605225","4.311048984527588","4.296008110046387","4.32838773727417","4.342701435089111","4.329787731170654","4.35601806640625","4.4427063941955565","4.432487964630127","4.454843044281006"
"48","4.3726411819458","4.361422538757324","4.385024070739746","4.272762775421143","4.255804061889648","4.29347562789917","4.297798442840576","4.2819037437438965","4.315330505371094","4.330000400543213","4.316274642944336","4.343561172485352","4.4320649147033695","4.422028541564941","4.443747520446777"
"49","4.3606363296508786","4.348903179168701","4.372855186462402","4.259045696258545","4.241426944732666","4.279926300048828","4.284551525115967","4.26781702041626","4.302249908447266","4.317308521270752","4.302670478820801","4.331180572509766","4.421406936645508","4.411478042602539","4.432769775390625"
"50","4.348604679107666","4.336172103881836","4.360641956329346","4.245309829711914","4.227049827575684","4.266434192657471","4.2712883949279785","4.25374698638916","4.289172172546387","4.3046067237854","4.289003849029541","4.318726539611816","4.410666370391846","4.400746822357178","4.421816349029541"
"51","4.336559104919433","4.323276996612549","4.3483734130859375","4.2315350532531735","4.212646484375","4.252993106842041","4.257996368408203","4.239689826965332","4.276124000549316","4.291886520385742","4.275325775146484","4.3062615394592285","4.399801254272461","4.3897833824157715","4.410808086395264"
"52","4.324510478973389","4.3102850914001465","4.336048126220703","4.217709636688232","4.198216438293457","4.239569664001465","4.244661140441894","4.225646018981934","4.2631120681762695","4.279150485992432","4.26168155670166","4.293840408325195","4.388812828063965","4.378604888916016","4.399704456329346"
"53","4.312459182739258","4.29724645614624","4.323672771453857","4.2038346290588375","4.183753967285156","4.22613000869751","4.231265926361084","4.211593151092529","4.250119686126709","4.2663853645324705","4.248068809509277","4.281461238861084","4.377731418609619","4.367246627807617","4.388498783111572"
"54","4.300391006469726","4.284174919128418","4.31168270111084","4.18990478515625","4.169236660003662","4.21262788772583","4.2177978515625","4.1974873542785645","4.237101078033447","4.253559017181397","4.234451770782471","4.269071578979492","4.366600513458252","4.355731010437012","4.377200126647949"
"55","4.288285446166992","4.271072864532471","4.300150394439697","4.175907802581787","4.154667854309082","4.199009418487549","4.2042460441589355","4.183304309844971","4.2239885330200195","4.240640926361084","4.220804691314697","4.256605625152588","4.355443000793457","4.344043254852295","4.365806579589844"
"56","4.27612829208374","4.257960319519043","4.288580894470215","4.161840343475342","4.140100479125977","4.185245990753174","4.190614223480225","4.169075012207031","4.210747718811035","4.227629375457764","4.207126140594482","4.244039058685303","4.3442634582519535","4.332164764404297","4.354312419891357"
"57","4.263914585113525","4.244880676269531","4.276951789855957","4.1477001190185545","4.125582218170166","4.171344757080078","4.176914691925049","4.154855251312256","4.197394847869873","4.214540004730225","4.19342565536499","4.231385231018066","4.333062362670899","4.320124626159668","4.342702388763428"
