"Step","model.output_scaling: 1.5 - grads/update_norm","model.output_scaling: 1.5 - grads/update_norm__MIN","model.output_scaling: 1.5 - grads/update_norm__MAX","model.output_scaling: 1.25 - grads/update_norm","model.output_scaling: 1.25 - grads/update_norm__MIN","model.output_scaling: 1.25 - grads/update_norm__MAX","model.output_scaling: 1 - grads/update_norm","model.output_scaling: 1 - grads/update_norm__MIN","model.output_scaling: 1 - grads/update_norm__MAX","model.output_scaling: 0.75 - grads/update_norm","model.output_scaling: 0.75 - grads/update_norm__MIN","model.output_scaling: 0.75 - grads/update_norm__MAX","model.output_scaling: 0.5 - grads/update_norm","model.output_scaling: 0.5 - grads/update_norm__MIN","model.output_scaling: 0.5 - grads/update_norm__MAX"
"57","0.20526371100186108","0.2035157765944562","0.2075118006218889","0.2701578235483558","0.2674231038992063","0.2745954041064408","0.38835661867105575","0.38055363209232096","0.39385382655359874","0.7502939128529293","0.7311734306306303","0.7688079531747559","0.8927621390373275","0.8663459182591499","0.9184472848377315"
"58","0.20519255631096334","0.20338122613957402","0.20750746434477738","0.2693583040011106","0.2665016694233781","0.2739462344152523","0.3894302950201376","0.38183150038134184","0.39477777890898874","0.7576527549658907","0.7386635730098573","0.7751372510114178","0.8692819137023123","0.8370371540890478","0.9039867103231792"
"59","0.20505182395963145","0.2032000776149478","0.20743227607275996","0.26867835894721276","0.2656771837361728","0.2733474290520765","0.3907243028024573","0.38335720791272615","0.3960589012758821","0.7637526462849744","0.7450090854485151","0.7798883976020291","0.844432936665467","0.8147512987547916","0.884716083753816"
"60","0.2048404784109467","0.2029689410971718","0.20727600666380114","0.2681081548314741","0.2649344724319067","0.27278841704280116","0.3922692094310368","0.38515154453790634","0.39806646663643025","0.768246073118014","0.7508470998475958","0.7822517880430148","0.81661136911583","0.7815638256991932","0.8634748295785732"
"61","0.20455760042999235","0.20268891678715067","0.20702860077997534","0.2676324823637989","0.2642600000073596","0.27227741849949555","0.39408935818947965","0.3872622669624046","0.4003898571294797","0.7709771824213838","0.7560963617130315","0.7816582087331758","0.7917311043870672","0.7594608231458317","0.8383370263734914"
"62","0.20420515795099395","0.20236259851774202","0.2066908486274997","0.2672347759557926","0.26364274166177404","0.2718236730044947","0.3962260050349683","0.38973890844310816","0.4030394436741921","0.7721096750551233","0.7605122916106807","0.7810477595104823","0.7662390646262863","0.7296158233589264","0.8143396846545261"
"63","0.203786802641088","0.20198875563382157","0.20627459046949245","0.26690119080401536","0.26307747625883265","0.2714123944269627","0.39869212820805566","0.39246205004222245","0.406029447333253","0.7729379772952217","0.7642249496505182","0.7823093060158763","0.7373756630410926","0.7020764982258795","0.7826547068777163"
"64","0.20330555481792426","0.2015630525067888","0.20579434920126008","0.26661862569680944","0.2625556611950007","0.2710275541122659","0.40148246039937374","0.39501165783725867","0.4093375500555262","0.7738388726819927","0.7653133455814253","0.7824190792247093","0.705589797274692","0.6677593438376742","0.7513020574224835"
"65","0.20276651379161206","0.20108299322675324","0.2052636709995869","0.2663800878584197","0.2620708183276257","0.2706712416940264","0.40458676337837957","0.39788445815572","0.4129079095007727","0.7736873191691045","0.7644991771597333","0.7817649521656557","0.6749136582179919","0.637031321961867","0.7172527517821982"
"66","0.20217709652139862","0.2005510639117265","0.20469219085296583","0.26618765442150444","0.26164577055093674","0.27036833602401256","0.40800311576834075","0.40110859626011885","0.41671173591211397","0.7726428510651866","0.7625019437131569","0.7813185953828732","0.6409377057303846","0.6012185973944967","0.6815534698694784"
"67","0.2015470571250308","0.1999739888739984","0.20408838446895564","0.26604201568307106","0.26130802106293266","0.27013684983718195","0.41169380923129373","0.4046859013780923","0.42071752132672535","0.771419400104809","0.7572731494660945","0.7804446433866139","0.6071055531361995","0.5676878346139056","0.6431486201962319"
"68","0.20088936043282848","0.19936055541031375","0.2034664790971637","0.26594238433987955","0.26105731521547065","0.26997543422152764","0.41563684207110796","0.408577143242725","0.42490487270037935","0.7692722478678234","0.748534026589493","0.7791429680972278","0.5708634865250035","0.5320662891139635","0.6042817030399601"
"69","0.20021697905891384","0.19872026791797953","0.20284358183422319","0.26588714884118037","0.26087919945163346","0.26987772789679393","0.4198169769908307","0.41273972930334857","0.4292704950864817","0.7667324417312642","0.7395821700831953","0.7784112426463541","0.5355996930522021","0.4964623231746853","0.5652615877157166"
"70","0.19954149433635604","0.19806187659459157","0.20223221858533866","0.2658773843269019","0.26076465506888946","0.2698569816093935","0.42420383948385076","0.4171061048352468","0.43382892882357493","0.7644904148791394","0.7339011998366473","0.7776164223163281","0.5009315683878172","0.46240845213050663","0.5274664705468214"
"71","0.19887465890019276","0.19739341957461698","0.20163625154348974","0.26591767174609954","0.26072006043877155","0.2699258884827943","0.42877065730402136","0.42160719272831293","0.4385455975293548","0.7625689774325978","0.7319516005529378","0.7756600568968027","0.4669582559628963","0.43013361174373743","0.4972538510396173"
"72","0.1982275417626039","0.19672203321595327","0.20105328494820313","0.26600852563409455","0.26075520304296407","0.27007743816463337","0.4334751200250696","0.4262168111977438","0.4433752791934382","0.7599837390630905","0.7286935999680345","0.7733006531079668","0.4345738086715927","0.3989472168038271","0.46920076244231645"
"73","0.1976096703184289","0.19605440026313858","0.20048266912767834","0.26615154642595495","0.2608688605802961","0.2702961754003166","0.43822867739274163","0.4307499977038415","0.44829906366099204","0.7555366672658719","0.7207834239746451","0.7713285585943359","0.403054861373517","0.36919712431277885","0.44089350221889023"
"74","0.19702782805110952","0.19539874301580454","0.1999282217729635","0.2663513301707326","0.26105550582010706","0.2705744948037899","0.4429745533319062","0.43510121751963715","0.4532989627527486","0.7488825874586559","0.7138590969823277","0.7683273298596052","0.373956065985232","0.3419945737394467","0.4144025447888959"
