"Step","Grouped runs - train/spec_loss","Grouped runs - train/spec_loss__MIN","Grouped runs - train/spec_loss__MAX","Grouped runs - train/loss","Grouped runs - train/loss__MIN","Grouped runs - train/loss__MAX"
"130","3.6248929889107524","3.5947223996963342","3.6484875152996765","2.091012716293335","1.9375996589660645","2.275505542755127"
"131","3.6140996678310287","3.583520120931996","3.6367131915300845","2.0439737319946287","1.8844761848449707","2.2345783710479736"
"132","3.6032516961845906","3.5714769241354025","3.625152568362373","1.9968016147613525","1.8310654163360596","2.1933908462524414"
"133","3.5925492727643222","3.560559075872961","3.6139684697866685","1.948886752128601","1.7775212526321411","2.1519243717193604"
"134","3.5820937869825586","3.548898411560478","3.602335226261493","1.9009276151657104","1.7239446640014648","2.1098968982696533"
"135","3.571649988426659","3.538176230274736","3.5911644048300686","1.8529555320739746","1.670338749885559","2.067512273788452"
"136","3.5614223643597116","3.526935050490405","3.5800778559384177","1.8046011209487915","1.6167141199111938","2.0249481201171875"
"137","3.5514981135310073","3.516372542576203","3.5691356057140546","1.7563279867172241","1.5630680322647095","1.9820550680160522"
"138","3.5414682728051448","3.505693533910177","3.5591503871481085","1.708075261116028","1.5093917846679688","1.9388257265090942"
"139","3.53204225075799","3.495331261691342","3.550485338001689","1.659553837776184","1.4558051824569702","1.8956711292266846"
"140","3.5223877613423014","3.4851793214766813","3.542637100827448","1.6113002300262451","1.4024444818496704","1.8529809713363647"
"141","3.513295878230854","3.4750944129375156","3.534314451399182","1.5633976697921752","1.3493860960006714","1.8106492757797241"
"142","3.504470616406484","3.465795142119267","3.5262885848291066","1.5154040813446046","1.2966454029083252","1.7677596807479858"
"143","3.4952213905727954","3.4555009785789337","3.519006409451935","1.4674574851989746","1.244236946105957","1.724301815032959"
"144","3.4875425719568973","3.4476271137442","3.511327733978354","1.4200406551361084","1.1924219131469727","1.6819329261779785"
"145","3.478295807788579","3.437150570557571","3.503992832036951","1.373331618309021","1.1417220830917358","1.6406149864196777"
"146","3.4712189995589697","3.430358364466287","3.4971929815035447","1.327071452140808","1.0924487113952637","1.59879732131958"
"147","3.462987948992597","3.4213665491726926","3.490224091539513","1.2809624671936035","1.0440139770507812","1.556617021560669"
"148","3.455528244562754","3.413382299660296","3.4836422762881356","1.235286021232605","0.9956797361373901","1.5153454542160034"
"149","3.4486846608622046","3.4073791592259144","3.4772604503261593","1.190504252910614","0.9488397240638733","1.4745228290557861"
"150","3.4412700745006317","3.398882358160193","3.4710131079284805","1.146480667591095","0.9040293097496033","1.433467149734497"
"151","3.434758691229811","3.3928842152580363","3.4650691390922006","1.1028842091560365","0.8598992228507996","1.3927853107452393"
"152","3.428369786388874","3.3866138577016254","3.4591751323735256","1.0599211692810058","0.8167033791542053","1.3526086807250977"
"153","3.4216762335213864","3.379446942055794","3.45378495506025","1.017888617515564","0.7749950885772705","1.3125649690628052"
"154","3.4163059552794266","3.3745232212326894","3.4483461059076648","0.976710295677185","0.7342252731323242","1.2729259729385376"
"155","3.4098972701088455","3.3683132627458376","3.4432872599092628","0.9363430976867676","0.6949422359466553","1.2336692810058594"
"156","3.4048795381635073","3.362520805269683","3.438473827520236","0.8968643426895142","0.6570577025413513","1.194631814956665"
"157","3.3994835007944673","3.3579188245744636","3.434288108187627","0.8583173513412475","0.6199250817298889","1.1562293767929077"
"158","3.39434370532789","3.352250963928911","3.4292527942278723","0.8210931777954101","0.5845530033111572","1.1185261011123657"
"159","3.3900671219249126","3.347622663082902","3.4269234764167473","0.7854195713996888","0.5507206916809082","1.0811396837234497"
"160","3.385330184540501","3.3431664808020574","3.422244607281715","0.7504871964454651","0.5176613330841064","1.0443696975708008"
"161","3.3811580688399956","3.338402695635982","3.4193812111970385","0.7159576177597046","0.48641669750213623","1.0087642669677734"
"162","3.377719310878639","3.3346357911923596","3.417149955453446","0.6833213984966278","0.45665255188941956","0.9740304946899414"
"163","3.373633227922082","3.3305781631670754","3.4136448009664755","0.6523452281951905","0.427873432636261","0.939871072769165"
"164","3.3704142184071744","3.326650894576312","3.411305916237071","0.6217423439025879","0.400896281003952","0.9066684246063232"
"165","3.367513573737464","3.3235575570805334","3.4098255902084404","0.5926627337932586","0.37520408630371094","0.8744301199913025"
"166","3.364421554221765","3.3202400148918514","3.4071347739443567","0.5650190114974976","0.3507228493690491","0.842655599117279"
"167","3.3618538672875773","3.3170890186863367","3.4052545902482945","0.5380402505397797","0.32786986231803894","0.8122159838676453"
"168","3.3595139245870245","3.314496246713728","3.4044209258118046","0.5127383887767791","0.30610617995262146","0.7831902503967285"
"169","3.3573747823072764","3.3118272585076087","3.402538326601344","0.48835586905479433","0.28567418456077576","0.7543231844902039"
"170","3.355278275813718","3.3093305530836634","3.401100925889004","0.4648836672306061","0.26659175753593445","0.7264102101325989"
"171","3.3536327318316737","3.3072858916760675","3.4007180817716387","0.44302988052368164","0.24858224391937256","0.7000142335891724"
"172","3.3522731408134896","3.3053337782380354","3.3998941758590457","0.42190847396850584","0.23186928033828735","0.6743179559707642"
"173","3.350719628270525","3.3034244114750235","3.398937293743534","0.4019234120845795","0.21627125144004822","0.6493533253669739"
"174","3.3496006959538156","3.3018650135127765","3.3987228388596495","0.38306864798069","0.20174546539783478","0.6254034042358398"
"175","3.3488500988097956","3.300519910667195","3.398778352256887","0.36506071090698244","0.18823829293251038","0.6024507880210876"
"176","3.34781365102934","3.2991628787550153","3.3983634360773918","0.34821151196956635","0.17569872736930847","0.5805427432060242"
"177","3.347190064407213","3.2981084756228145","3.3983308928838927","0.3321734070777893","0.16404716670513153","0.5594223141670227"
"178","3.3469399764775574","3.2973518581786188","3.398930325115589","0.3170202046632767","0.15321089327335358","0.5390709638595581"
"179","3.346414494396383","3.2965616206691157","3.3991409303643905","0.30277947783470155","0.14319869875907898","0.5198027491569519"
"180","3.3462113605773425","3.295897404633816","3.3994379614529158","0.289352086186409","0.1338697224855423","0.501466691493988"
"181","3.3462998302733418","3.2947350666039865","3.400270755616891","0.2766890019178391","0.1252608299255371","0.48389315605163574"
"182","3.346329190313088","3.2927146381606516","3.401041651942671","0.26473790109157563","0.11727511882781982","0.46707960963249207"
"183","3.346484337128038","3.2909808478338785","3.4018518543927994","0.2535115644335747","0.10990361124277115","0.4511200785636902"
"184","3.3468359173364943","3.2901580335556093","3.4028433353622463","0.24292476773262023","0.10308101773262024","0.4360020160675049"
"185","3.34719238020969","3.2885882009096123","3.403930209528472","0.23295354396104812","0.09679483622312546","0.42152735590934753"
"186","3.3477048657819886","3.2873088979902403","3.405156446635235","0.22353959530591966","0.09097375720739365","0.40774017572402954"
"187","3.3483461688011453","3.2869351715903052","3.4064480385543323","0.21467333137989045","0.08561228215694427","0.39468973875045776"
"188","3.348911196317926","3.2857050679530584","3.4078029758476487","0.20630353391170503","0.0806477814912796","0.3822363317012787"
"189","3.3496831975621966","3.2849744858515195","3.4092470246603868","0.19839125573635102","0.07606780529022217","0.37041011452674866"
"190","3.350571796220452","3.284840008561761","3.4108604868720485","0.19092563837766646","0.07182859629392624","0.3591482937335968"
"191","3.3513773992232423","3.2841874859184195","3.4125417527660273","0.18384362757205963","0.06791625916957855","0.3483474552631378"
"192","3.3522829543546804","3.2838387361374353","3.414144299552114","0.17714984267950057","0.0642985850572586","0.33807268738746643"
"193","3.353325393596412","3.2840258967670652","3.4158320166471667","0.1708096332848072","0.06096808239817619","0.3282586336135864"
"194","3.3543315286518345","3.2839100173838873","3.4176366495799138","0.16478131338953972","0.057894717901945114","0.3188263773918152"
"195","3.3553788239366","3.284087530041945","3.419363873111503","0.15906023904681205","0.05507437512278557","0.30979421734809875"
"196","3.3564755773384922","3.2845365930751935","3.421085810485523","0.15361287221312522","0.05247974768280983","0.30111393332481384"
"197","3.357551279661466","3.284857438650854","3.422887557290568","0.1484346129000187","0.05010054633021355","0.2927876114845276"
"198","3.3586635068033615","3.2855234943791","3.424634974853032","0.14350487664341927","0.04791377857327461","0.28479790687561035"
"199","3.359761969522343","3.286120471746722","3.4264010674825798","0.1388050749897957","0.04590463638305664","0.27708253264427185"
"200","3.3608744874783043","3.2869229396187385","3.428220177957778","0.13432751670479776","0.04405387118458748","0.26966431736946106"
"201","3.3619464511953554","3.287707546210981","3.4299873704597736","0.13005529567599297","0.042347501963377","0.2625263035297394"
"202","3.3630778079857797","3.288703346464936","3.4317871261055544","0.12596592009067537","0.04076863080263138","0.25562775135040283"
"203","3.3642243671823744","3.2896475657377247","3.433644318383461","0.12205321192741395","0.039306387305259705","0.24897314608097076"
"204","3.365368892849326","3.290759932764014","3.4354499403157237","0.11830028742551804","0.03794695436954498","0.24252505600452423"
"205","3.366518870951654","3.2918946357379455","3.437273205520377","0.11470317393541336","0.03668089210987091","0.23628129065036774"
