"Step","model.ln_type: pre - train/spec_accuracy","model.ln_type: pre - train/spec_accuracy__MIN","model.ln_type: pre - train/spec_accuracy__MAX","model.ln_type: pre - train/accuracy","model.ln_type: pre - train/accuracy__MIN","model.ln_type: pre - train/accuracy__MAX","model.ln_type: attn-pre - train/spec_accuracy","model.ln_type: attn-pre - train/spec_accuracy__MIN","model.ln_type: attn-pre - train/spec_accuracy__MAX","model.ln_type: attn-pre - train/accuracy","model.ln_type: attn-pre - train/accuracy__MIN","model.ln_type: attn-pre - train/accuracy__MAX","model.ln_type: mlp-pre - train/spec_accuracy","model.ln_type: mlp-pre - train/spec_accuracy__MIN","model.ln_type: mlp-pre - train/spec_accuracy__MAX","model.ln_type: mlp-pre - train/accuracy","model.ln_type: mlp-pre - train/accuracy__MIN","model.ln_type: mlp-pre - train/accuracy__MAX"
"40","0.02239624075591564","0.01801096275448799","0.025580788031220436","0.41555728316307067","0.4116418659687042","0.4181675612926483","0.022970503196120262","0.01931610517203808","0.02714695781469345","0.33959801197052003","0.33281126618385315","0.3484729826450348","0.07340119779109955","0.06577916443347931","0.07778647541999817","0.17995300889015198","0.1466979831457138","0.19577133655548096"
"41","0.021926389262080192","0.01801096275448799","0.02531975880265236","0.4294439911842346","0.4257373809814453","0.4312189817428589","0.02265726886689663","0.018794048577547073","0.027407987043261528","0.35656484961509705","0.34795090556144714","0.3664839267730713","0.07679456770420075","0.06943356245756149","0.08222395926713943","0.19128164350986482","0.15687809884548187","0.20595143735408783"
"42","0.02161315493285656","0.01827199012041092","0.024536672979593277","0.44416600465774536","0.4400939643383026","0.4474027454853058","0.022813885658979415","0.01905507594347","0.02714695781469345","0.3732184708118439","0.36805009841918945","0.37953534722328186","0.07898720651865006","0.07099973410367966","0.08326807618141174","0.2017749845981598","0.16314277052879333","0.21952491998672485"
"43","0.02171756625175476","0.01801096275448799","0.024536672979593277","0.4599321186542511","0.45732182264328003","0.46228137612342834","0.022970503196120262","0.019577132537961006","0.026885930448770523","0.3914382576942444","0.38240668177604675","0.39832940697669983","0.08086661249399185","0.07465413212776184","0.08405116200447083","0.21237274408340454","0.17019054293632507","0.23257634043693542"
"44","0.022344034537672995","0.01827199012041092","0.025580788031220436","0.4773166120052338","0.47167840600013733","0.48499083518981934","0.02265726886689663","0.01931610517203808","0.026624901220202446","0.4087705373764038","0.40120071172714233","0.42129990458488464","0.08128425627946853","0.07413207739591599","0.08509527146816254","0.22062124013900758","0.17488905787467957","0.23962411284446716"
"45","0.022135212272405624","0.018794048577547073","0.02610284462571144","0.49590184092521666","0.4894283413887024","0.5069172382354736","0.022813886031508447","0.019577132537961006","0.026624901220202446","0.4275645911693573","0.4207778573036194","0.43957188725471497","0.08300704210996628","0.07465413212776184","0.08874966949224472","0.23200207948684692","0.18637430667877197","0.25163140892982483"
"46","0.021926388889551163","0.019838161766529083","0.025841815397143364","0.5130775094032287","0.5035238862037659","0.5249282121658325","0.022605063021183015","0.019577132537961006","0.02714695781469345","0.447246128320694","0.4372226297855377","0.45836594700813293","0.08561732918024063","0.0780475065112114","0.09188201278448105","0.24051161110401154","0.19551029801368713","0.26050639152526855"
"47","0.021560949832201005","0.019838161766529083","0.025580788031220436","0.5305142045021057","0.5189245343208313","0.5424171090126038","0.02286609187722206","0.019577132537961006","0.026885930448770523","0.46682326793670653","0.4562777280807495","0.47768205404281616","0.0871835008263588","0.07961367815732956","0.09214304387569427","0.2507961243391037","0.2046463042497635","0.2743408977985382"
"48","0.02140433229506016","0.01931610517203808","0.02531975880265236","0.5483163356781006","0.5348472595214844","0.5617331862449646","0.02323153167963028","0.01905507594347","0.027407987043261528","0.4891672968864441","0.47663792967796326","0.5024797320365906","0.08948055058717727","0.08117984235286713","0.09370920807123184","0.26175932586193085","0.21848081052303314","0.28504306077957153"
"49","0.021195509657263755","0.01801096275448799","0.02610284462571144","0.5662750959396362","0.5528582334518433","0.5800052285194397","0.022918297350406645","0.019577132537961006","0.026624901220202446","0.5113025188446045","0.4925606846809387","0.5257112979888916","0.09172539561986923","0.0837901309132576","0.09553641080856323","0.27240928411483767","0.23179325461387634","0.29939961433410645"
"50","0.021456537768244743","0.017749933525919914","0.02610284462571144","0.5865309119224549","0.5706081986427307","0.5974941253662109","0.023179325833916666","0.02009919099509716","0.027407987043261528","0.5336465477943421","0.5147480964660645","0.5502479672431946","0.09464891403913497","0.08822761476039886","0.09945183992385864","0.2818585127592087","0.23753587901592255","0.3095797300338745"
"51","0.020986686646938323","0.017488906159996986","0.025841815397143364","0.6060558438301087","0.5894021987915039","0.6157661080360413","0.02333594337105751","0.01931610517203808","0.027930043637752533","0.5558339595794678","0.5345862507820129","0.5740015506744385","0.09752022624015808","0.09344818443059921","0.10127903521060944","0.29188200235366824","0.24641084671020508","0.3187157213687897"
"52","0.02067345269024372","0.01696684956550598","0.024797702208161354","0.6259984135627746","0.6061080694198608","0.6358652710914612","0.02312711998820305","0.019577132537961006","0.02610284462571144","0.5815713763236999","0.5596449971199036","0.5985382199287415","0.10023492276668548","0.0971025824546814","0.10310623794794083","0.3015400588512421","0.25476375222206116","0.3275907039642334"
"53","0.02056904137134552","0.01722787693142891","0.02531975880265236","0.6468284845352172","0.6264682412147522","0.656747579574585","0.02370138242840767","0.019577132537961006","0.026885930448770523","0.6088227272033692","0.590185284614563","0.6269903182983398","0.10154006481170655","0.09553641080856323","0.10597755014896393","0.31078046560287476","0.2628556489944458","0.3372487425804138"
